"Time (s) 2.0V","Angle (rad) 2.0V","Angular Velocity (rad/s) 2.0V","Angular Acceleration (rad/s²) 2.0V","Position (m) 2.0V","Velocity (m/s) 2.0V","Acceleration (m/s²) 2.0V","Time (s) 1.5V","Angle (rad) 1.5V","Angular Velocity (rad/s) 1.5V","Angular Acceleration (rad/s²) 1.5V","Position (m) 1.5V","Velocity (m/s) 1.5V","Acceleration (m/s²) 1.5V","Time (s) 1.0V","Angle (rad) 1.0V","Angular Velocity (rad/s) 1.0V","Angular Acceleration (rad/s²) 1.0V","Position (m) 1.0V","Velocity (m/s) 1.0V","Acceleration (m/s²) 1.0V","Time (s) 2.5V","Angle (rad) 2.5V","Angular Velocity (rad/s) 2.5V","Angular Acceleration (rad/s²) 2.5V","Position (m) 2.5V","Velocity (m/s) 2.5V","Acceleration (m/s²) 2.5V","Time (s) 3.0V","Angle (rad) 3.0V","Angular Velocity (rad/s) 3.0V","Angular Acceleration (rad/s²) 3.0V","Position (m) 3.0V","Velocity (m/s) 3.0V","Acceleration (m/s²) 3.0V","Time (s) 4.0V","Angle (rad) 4.0V","Angular Velocity (rad/s) 4.0V","Angular Acceleration (rad/s²) 4.0V","Position (m) 4.0V","Velocity (m/s) 4.0V","Acceleration (m/s²) 4.0V","Time (s) 4.5V","Angle (rad) 4.5V","Angular Velocity (rad/s) 4.5V","Angular Acceleration (rad/s²) 4.5V","Position (m) 4.5V","Velocity (m/s) 4.5V","Acceleration (m/s²) 4.5V","Time (s) 5.0V","Angle (rad) 5.0V","Angular Velocity (rad/s) 5.0V","Angular Acceleration (rad/s²) 5.0V","Position (m) 5.0V","Velocity (m/s) 5.0V","Acceleration (m/s²) 5.0V","Time (s) 5.5V","Angle (rad) 5.5V","Angular Velocity (rad/s) 5.5V","Angular Acceleration (rad/s²) 5.5V","Position (m) 5.5V","Velocity (m/s) 5.5V","Acceleration (m/s²) 5.5V","Time (s) 6.0V","Angle (rad) 6.0V","Angular Velocity (rad/s) 6.0V","Angular Acceleration (rad/s²) 6.0V","Position (m) 6.0V","Velocity (m/s) 6.0V","Acceleration (m/s²) 6.0V","Time (s) 6.5V","Angle (rad) 6.5V","Angular Velocity (rad/s) 6.5V","Angular Acceleration (rad/s²) 6.5V","Position (m) 6.5V","Velocity (m/s) 6.5V","Acceleration (m/s²) 6.5V","Time (s) 3.5V","Angle (rad) 3.5V","Angular Velocity (rad/s) 3.5V","Angular Acceleration (rad/s²) 3.5V","Position (m) 3.5V","Velocity (m/s) 3.5V","Acceleration (m/s²) 3.5V"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353.250,-1.268,-3.969,26.756,-0.0303,-0.095,0.639,353.250,-3.515,6.912,-12.095,-0.0839,0.165,-0.289,,,,,,,,,,,,,,,,,,,,,,353.250,0.336,3.026,-2.182,0.0080,0.072,-0.052
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353.300,-1.431,-2.608,26.930,-0.0342,-0.062,0.643,353.300,-3.193,6.393,-5.969,-0.0762,0.153,-0.143,,,,,,,,,,,,,,,,,,,,,,353.300,0.492,2.707,-10.088,0.0117,0.065,-0.241
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353.350,-1.527,-1.278,26.948,-0.0364,-0.030,0.643,353.350,-2.889,6.257,2.199,-0.0690,0.149,0.052,,,,,,,,,,,,,,,,,,,,,,353.350,0.620,1.984,-17.017,0.0148,0.047,-0.406
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353.400,-1.558,0.058,27.594,-0.0372,0.001,0.659,353.400,-2.582,6.571,11.467,-0.0616,0.157,0.274,,,,,,,,,,,,,,,,,,,,,,353.400,0.702,0.937,-21.991,0.0168,0.022,-0.525
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353.450,-1.524,1.450,28.990,-0.0364,0.035,0.692,353.450,-2.249,7.393,20.490,-0.0537,0.177,0.489,,,,,,,,,,,,,,,,,,,,,,353.450,0.721,-0.309,-24.278,0.0172,-0.007,-0.580
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353.500,-1.417,2.943,30.631,-0.0338,0.070,0.731,353.500,-1.861,8.697,26.808,-0.0444,0.208,0.640,,,,,,,,,,,,,,,,,,,,,,353.500,0.672,-1.597,-23.527,0.0160,-0.038,-0.562
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353.550,-1.233,4.534,31.468,-0.0294,0.108,0.751,353.550,-1.392,10.278,27.192,-0.0332,0.245,0.649,,,,,,,,,,,,,,,,,,,,,,353.550,0.558,-2.765,-19.827,0.0133,-0.066,-0.473
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353.600,-0.966,6.163,29.932,-0.0231,0.147,0.715,353.600,-0.831,11.729,19.181,-0.0198,0.280,0.458,,,,,,,,,,,,,,,,,,,,,,353.600,0.386,-3.665,-13.753,0.0092,-0.087,-0.328
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353.650,-0.614,7.671,24.295,-0.0147,0.183,0.580,353.650,-0.196,12.519,2.967,-0.0047,0.299,0.071,,,,,,,,,,,,,,,,,,,,,,353.650,0.178,-4.189,-6.301,0.0042,-0.100,-0.150
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353.700,-0.187,8.786,13.561,-0.0045,0.210,0.324,353.700,0.462,12.210,-17.959,0.0110,0.292,-0.429,,,,,,,,,,,,,,,,,,,,,,353.700,-0.047,-4.299,1.396,-0.0011,-0.103,0.033
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353.750,0.289,9.200,-1.588,0.0069,0.220,-0.038,353.750,1.071,10.687,-38.362,0.0256,0.255,-0.916,,,,,,,,,,,,,,,,,,,,,,353.750,-0.265,-4.021,8.378,-0.0063,-0.096,0.200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353.800,0.767,8.702,-18.692,0.0183,0.208,-0.446,353.800,1.565,8.173,-54.088,0.0374,0.195,-1.291,,,,,,,,,,,,,,,,,,,,,,353.800,-0.460,-3.414,14.067,-0.0110,-0.082,0.336
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353.850,1.192,7.278,-34.610,0.0285,0.174,-0.826,353.850,1.907,5.047,-63.897,0.0455,0.120,-1.525,,,,,,,,,,,,,,,,,,,,,,353.850,-0.616,-2.560,18.256,-0.0147,-0.061,0.436
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353.900,1.521,5.100,-46.932,0.0363,0.122,-1.120,353.900,2.078,1.623,-68.888,0.0496,0.039,-1.645,,,,,,,,,,,,,,,,,,,,,,353.900,-0.721,-1.539,21.014,-0.0172,-0.037,0.502
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353.950,1.718,2.419,-54.594,0.0410,0.058,-1.303,353.950,2.072,-1.932,-70.372,0.0495,-0.046,-1.680,,,,,,,,,,,,,,,,,,,,,,353.950,-0.773,-0.419,22.550,-0.0185,-0.010,0.538
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.000,1.770,-0.518,-57.421,0.0423,-0.012,-1.371,354.000,1.887,-5.513,-67.981,0.0450,-0.132,-1.623,,,,,,,,,,,,,,,,,,,,,,354.000,-0.765,0.749,22.969,-0.0183,0.018,0.548
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.050,1.668,-3.482,-55.240,0.0398,-0.083,-1.319,354.050,1.519,-8.927,-59.725,0.0363,-0.213,-1.426,,,,,,,,,,,,,,,,,,,,,,354.050,-0.697,1.916,22.183,-0.0167,0.046,0.530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.100,1.415,-6.226,-47.648,0.0338,-0.149,-1.137,354.100,0.977,-11.776,-44.227,0.0233,-0.281,-1.056,,,,,,,,,,,,,,,,,,,,,,354.100,-0.572,3.016,19.897,-0.0137,0.072,0.475
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.150,1.029,-8.446,-34.715,0.0246,-0.202,-0.829,354.150,0.303,-13.587,-23.370,0.0072,-0.324,-0.558,,,,,,,,,,,,,,,,,,,,,,354.150,-0.391,3.969,15.778,-0.0093,0.095,0.377
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.200,0.542,-9.849,-18.012,0.0129,-0.235,-0.430,354.200,-0.430,-14.121,-2.705,-0.0103,-0.337,-0.065,,,,,,,,,,,,,,,,,,,,,,354.200,-0.167,4.665,9.687,-0.0040,0.111,0.231
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.250,0.008,-10.273,-0.820,1.8750E-4,-0.245,-0.020,354.250,-1.150,-13.593,11.397,-0.0274,-0.325,0.272,,,,,,,,,,,,,,,,,,,,,,354.250,0.088,5.000,1.868,0.0021,0.119,0.045
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.300,-0.518,-9.802,13.142,-0.0124,-0.234,0.314,354.300,-1.806,-12.582,15.533,-0.0431,-0.300,0.371,,,,,,,,,,,,,,,,,,,,,,354.300,0.349,4.890,-6.912,0.0083,0.117,-0.165
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.350,-0.993,-8.739,21.468,-0.0237,-0.209,0.512,354.350,-2.399,-11.708,11.013,-0.0573,-0.279,0.263,,,,,,,,,,,,,,,,,,,,,,354.350,0.594,4.304,-15.516,0.0142,0.103,-0.370
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.400,-1.398,-7.440,23.946,-0.0334,-0.178,0.572,354.400,-2.956,-11.346,2.601,-0.0706,-0.271,0.062,,,,,,,,,,,,,,,,,,,,,,354.400,0.795,3.288,-22.672,0.0190,0.079,-0.541
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.450,-1.734,-6.194,22.061,-0.0414,-0.148,0.527,354.450,-3.512,-11.524,-3.927,-0.0838,-0.275,-0.094,,,,,,,,,,,,,,,,,,,,,,354.450,0.933,1.948,-27.314,0.0223,0.047,-0.652
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.500,-2.009,-5.163,17.872,-0.0480,-0.123,0.427,354.500,-4.097,-11.985,-3.735,-0.0978,-0.286,-0.089,,,,,,,,,,,,,,,,,,,,,,354.500,0.996,0.445,-28.815,0.0238,0.011,-0.688
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.550,-2.240,-4.398,13.125,-0.0535,-0.105,0.313,354.550,-4.716,-12.247,5.603,-0.1126,-0.292,0.134,,,,,,,,,,,,,,,,,,,,,,354.550,0.977,-1.047,-27.070,0.0233,-0.025,-0.646
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.600,-2.441,-3.875,8.779,-0.0583,-0.092,0.210,354.600,-5.349,-11.744,23.091,-0.1277,-0.280,0.551,,,,,,,,,,,,,,,,,,,,,,354.600,0.884,-2.361,-22.462,0.0211,-0.056,-0.536
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.650,-2.622,-3.545,5.114,-0.0626,-0.085,0.122,354.650,-5.934,-10.085,44.454,-0.1417,-0.241,1.061,,,,,,,,,,,,,,,,,,,,,,354.650,0.730,-3.367,-15.638,0.0174,-0.080,-0.373
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.700,-2.790,-3.382,2.147,-0.0666,-0.081,0.051,354.700,-6.401,-7.220,64.054,-0.1528,-0.172,1.529,,,,,,,,,,,,,,,,,,,,,,354.700,0.534,-3.974,-7.435,0.0127,-0.095,-0.178
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.750,-2.955,-3.356,-0.035,-0.0705,-0.080,-8.333E-4,354.750,-6.688,-3.435,77.144,-0.1597,-0.082,1.842,,,,,,,,,,,,,,,,,,,,,,354.750,0.317,-4.126,1.134,0.0076,-0.099,0.027
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.800,-3.123,-3.419,-1.379,-0.0745,-0.082,-0.033,354.800,-6.761,0.822,80.896,-0.1614,0.020,1.931,,,,,,,,,,,,,,,,,,,,,,354.800,0.105,-3.833,8.954,0.0025,-0.092,0.214
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.850,-3.296,-3.519,-2.042,-0.0787,-0.084,-0.049,354.850,-6.605,5.016,74.438,-0.1577,0.120,1.777,,,,,,,,,,,,,,,,,,,,,,354.850,-0.079,-3.168,15.062,-0.0019,-0.076,0.360
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.900,-3.475,-3.634,-2.286,-0.0829,-0.087,-0.055,354.900,-6.238,8.597,59.010,-0.1489,0.205,1.409,,,,,,,,,,,,,,,,,,,,,,354.900,-0.220,-2.246,18.954,-0.0053,-0.054,0.453
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.950,-3.658,-3.754,-2.199,-0.0873,-0.090,-0.053,354.950,-5.707,11.121,38.327,-0.1362,0.266,0.915,,,,,,,,,,,,,,,,,,,,,,354.950,-0.308,-1.194,20.560,-0.0074,-0.029,0.491
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.000,-3.850,-3.869,-1.606,-0.0919,-0.092,-0.038,355.000,-5.080,12.420,18.064,-0.1213,0.297,0.431,,,,,,,,,,,,,,,,,,,,,,355.000,-0.339,-0.120,20.036,-0.0081,-0.003,0.478
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.050,-4.046,-3.943,-0.332,-0.0966,-0.094,-0.008,355.050,-4.427,12.692,3.927,-0.1057,0.303,0.094,,,,,,,,,,,,,,,,,,,,,,355.050,-0.317,0.874,17.593,-0.0076,0.021,0.420
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.100,-4.247,-3.927,1.658,-0.1014,-0.094,0.040,355.100,-3.792,12.446,-0.855,-0.0905,0.297,-0.020,,,,,,,,,,,,,,,,,,,,,,355.100,-0.247,1.696,13.491,-0.0059,0.040,0.322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.150,-4.444,-3.796,4.206,-0.1061,-0.091,0.100,355.150,-3.187,12.273,2.862,-0.0761,0.293,0.068,,,,,,,,,,,,,,,,,,,,,,355.150,-0.138,2.267,8.133,-0.0033,0.054,0.194
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.200,-4.631,-3.519,7.069,-0.1105,-0.084,0.169,355.200,-2.586,12.582,10.297,-0.0617,0.300,0.246,,,,,,,,,,,,,,,,,,,,,,355.200,-0.009,2.534,2.025,-2.2500E-4,0.061,0.048
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.250,-4.802,-3.089,9.931,-0.1146,-0.074,0.237,355.250,-1.951,13.415,14.696,-0.0466,0.320,0.351,,,,,,,,,,,,,,,,,,,,,,355.250,0.126,2.477,-4.259,0.0030,0.059,-0.102
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.300,-4.945,-2.513,12.409,-0.1180,-0.060,0.296,355.300,-1.253,14.394,10.263,-0.0299,0.344,0.245,,,,,,,,,,,,,,,,,,,,,,355.300,0.250,2.094,-10.036,0.0060,0.050,-0.240
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.350,-5.056,-1.822,14.137,-0.1207,-0.043,0.337,355.350,-0.495,14.870,-4.835,-0.0118,0.355,-0.115,,,,,,,,,,,,,,,,,,,,,,355.350,0.346,1.429,-14.556,0.0082,0.034,-0.347
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.400,-5.130,-1.063,14.783,-0.1225,-0.025,0.353,355.400,0.276,14.205,-27.122,0.0066,0.339,-0.647,,,,,,,,,,,,,,,,,,,,,,355.400,0.399,0.571,-17.157,0.0095,0.014,-0.410
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.450,-5.163,-0.298,14.155,-0.1233,-0.007,0.338,355.450,0.980,12.153,-49.707,0.0234,0.290,-1.187,,,,,,,,,,,,,,,,,,,,,,355.450,0.405,-0.367,-17.471,0.0097,-0.009,-0.417
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.500,-5.157,0.398,12.305,-0.1231,0.010,0.294,355.500,1.533,8.974,-66.375,0.0366,0.214,-1.585,,,,,,,,,,,,,,,,,,,,,,355.500,0.361,-1.257,-15.464,0.0086,-0.030,-0.369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.550,-5.119,0.963,9.564,-0.1222,0.023,0.228,355.550,1.894,5.189,-74.822,0.0452,0.124,-1.786,,,,,,,,,,,,,,,,,,,,,,355.550,0.273,-1.984,-11.414,0.0065,-0.047,-0.273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.600,-5.055,1.367,6.405,-0.1207,0.033,0.153,355.600,2.055,1.257,-76.306,0.0491,0.030,-1.822,,,,,,,,,,,,,,,,,,,,,,355.600,0.154,-2.450,-5.899,0.0037,-0.058,-0.141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.650,-4.976,1.602,3.316,-0.1188,0.038,0.079,355.650,2.015,-2.576,-72.745,0.0481,-0.062,-1.737,,,,,,,,,,,,,,,,,,,,,,355.650,0.017,-2.597,0.332,4.1250E-4,-0.062,0.008
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.700,-4.890,1.681,0.663,-0.1167,0.040,0.016,355.700,1.789,-6.152,-64.438,0.0427,-0.147,-1.538,,,,,,,,,,,,,,,,,,,,,,355.700,-0.118,-2.414,6.493,-0.0028,-0.058,0.155
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.750,-4.803,1.644,-1.326,-0.1147,0.039,-0.032,355.750,1.387,-9.226,-50.300,0.0331,-0.220,-1.201,,,,,,,,,,,,,,,,,,,,,,355.750,-0.234,-1.922,11.956,-0.0056,-0.046,0.285
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.800,-4.723,1.524,-2.548,-0.1128,0.036,-0.061,355.800,0.837,-11.425,-30.212,0.0200,-0.273,-0.721,,,,,,,,,,,,,,,,,,,,,,355.800,-0.319,-1.178,16.266,-0.0076,-0.028,0.388
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.850,-4.650,1.361,-3.002,-0.1110,0.032,-0.072,355.850,0.199,-12.394,-6.894,0.0048,-0.296,-0.165,,,,,,,,,,,,,,,,,,,,,,355.850,-0.358,-0.246,19.076,-0.0086,-0.006,0.455
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.900,-4.587,1.199,-2.758,-0.1095,0.029,-0.066,355.900,-0.451,-12.048,14.591,-0.0108,-0.288,0.348,,,,,,,,,,,,,,,,,,,,,,355.900,-0.347,0.791,20.141,-0.0083,0.019,0.481
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.950,-4.532,1.068,-2.042,-0.1082,0.026,-0.049,355.950,-1.043,-10.671,29.514,-0.0249,-0.255,0.705,,,,,,,,,,,,,,,,,,,,,,355.950,-0.280,1.833,19.268,-0.0067,0.044,0.460
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356.000,-4.481,0.990,-1.117,-0.1070,0.024,-0.027,356.000,-1.535,-8.770,36.024,-0.0366,-0.209,0.860,,,,,,,,,,,,,,,,,,,,,,356.000,-0.160,2.786,16.354,-0.0038,0.067,0.390
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356.050,-4.434,0.958,-0.209,-0.1059,0.023,-0.005,356.050,-1.918,-6.817,35.465,-0.0458,-0.163,0.847,,,,,,,,,,,,,,,,,,,,,,356.050,0.005,3.540,11.380,1.1250E-4,0.085,0.272
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356.100,-4.387,0.974,0.489,-0.1047,0.023,0.012,356.100,-2.207,-5.095,30.665,-0.0527,-0.122,0.732,,,,,,,,,,,,,,,,,,,,,,356.100,0.204,3.990,4.555,0.0049,0.095,0.109
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356.150,-4.339,1.021,0.803,-0.1036,0.024,0.019,356.150,-2.416,-3.707,24.120,-0.0577,-0.089,0.576,,,,,,,,,,,,,,,,,,,,,,356.150,0.418,4.042,-3.473,0.0100,0.097,-0.083
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356.200,-4.285,1.073,0.541,-0.1023,0.026,0.013,356.200,-2.565,-2.681,17.471,-0.0612,-0.064,0.417,,,,,,,,,,,,,,,,,,,,,,356.200,0.624,3.649,-11.694,0.0149,0.087,-0.279
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356.250,-4.230,1.100,-0.384,-0.1010,0.026,-0.009,356.250,-2.672,-1.995,11.746,-0.0638,-0.048,0.280,,,,,,,,,,,,,,,,,,,,,,356.250,0.798,2.838,-18.972,0.0190,0.068,-0.453
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356.300,-4.174,1.058,-1.937,-0.0996,0.025,-0.046,356.300,-2.755,-1.566,7.453,-0.0658,-0.037,0.178,,,,,,,,,,,,,,,,,,,,,,356.300,0.919,1.686,-24.365,0.0219,0.040,-0.582
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356.350,-4.120,0.922,-3.944,-0.0984,0.022,-0.094,356.350,-2.824,-1.299,4.433,-0.0674,-0.031,0.106,,,,,,,,,,,,,,,,,,,,,,356.350,0.974,0.314,-27.192,0.0232,0.007,-0.649
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356.400,-4.078,0.670,-6.161,-0.0973,0.016,-0.147,356.400,-2.882,-1.141,2.164,-0.0688,-0.027,0.052,,,,,,,,,,,,,,,,,,,,,,356.400,0.953,-1.136,-27.035,0.0228,-0.027,-0.645
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356.450,-4.050,0.304,-8.412,-0.0967,0.007,-0.201,356.450,-2.934,-1.089,0.401,-0.0700,-0.026,0.010,,,,,,,,,,,,,,,,,,,,,,356.450,0.858,-2.498,-23.841,0.0205,-0.060,-0.569
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356.500,-4.043,-0.173,-10.559,-0.0965,-0.004,-0.252,356.500,-2.988,-1.126,-0.663,-0.0713,-0.027,-0.016,,,,,,,,,,,,,,,,,,,,,,356.500,0.694,-3.613,-17.994,0.0166,-0.086,-0.430
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356.550,-4.064,-0.759,-12.427,-0.0970,-0.018,-0.297,356.550,-3.046,-1.194,-0.855,-0.0727,-0.029,-0.020,,,,,,,,,,,,,,,,,,,,,,356.550,0.484,-4.362,-10.332,0.0115,-0.104,-0.247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356.600,-4.115,-1.435,-13.701,-0.0982,-0.034,-0.327,356.600,-3.109,-1.236,-0.419,-0.0742,-0.029,-0.010,,,,,,,,,,,,,,,,,,,,,,356.600,0.243,-4.671,-1.937,0.0058,-0.111,-0.046
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356.650,-4.205,-2.162,-13.945,-0.1004,-0.052,-0.333,356.650,-3.171,-1.236,0.209,-0.0757,-0.030,0.005,,,,,,,,,,,,,,,,,,,,,,356.650,2.220E-16,-4.540,6.039,-2.5847E-16,-0.108,0.144
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356.700,-4.332,-2.880,-12.706,-0.1034,-0.069,-0.303,356.700,-3.233,-1.210,0.908,-0.0772,-0.029,0.022,,,,,,,,,,,,,,,,,,,,,,356.700,-0.223,-4.016,12.671,-0.0053,-0.096,0.302
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356.750,-4.496,-3.498,-9.599,-0.1073,-0.084,-0.229,356.750,-3.292,-1.157,1.868,-0.0786,-0.028,0.045,,,,,,,,,,,,,,,,,,,,,,356.750,-0.412,-3.204,17.453,-0.0098,-0.077,0.417
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356.800,-4.689,-3.911,-4.503,-0.1119,-0.093,-0.107,356.800,-3.351,-1.042,3.089,-0.0800,-0.025,0.074,,,,,,,,,,,,,,,,,,,,,,356.800,-0.550,-2.204,20.281,-0.0131,-0.053,0.484
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356.850,-4.898,-4.011,2.321,-0.1169,-0.096,0.055,356.850,-3.401,-0.843,4.119,-0.0812,-0.020,0.098,,,,,,,,,,,,,,,,,,,,,,356.850,-0.635,-1.115,21.380,-0.0152,-0.027,0.510
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356.900,-5.104,-3.718,10.193,-0.1218,-0.089,0.243,356.900,-3.437,-0.597,4.433,-0.0820,-0.014,0.106,,,,,,,,,,,,,,,,,,,,,,356.900,-0.661,-0.021,21.049,-0.0158,-5.000E-4,0.503
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356.950,-5.284,-2.995,18.082,-0.1261,-0.072,0.432,356.950,-3.459,-0.367,3.979,-0.0826,-0.009,0.095,,,,,,,,,,,,,,,,,,,,,,356.950,-0.635,1.026,19.513,-0.0152,0.025,0.466
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357.000,-5.418,-1.869,24.784,-0.1293,-0.045,0.592,357.000,-3.471,-0.188,3.037,-0.0829,-0.005,0.072,,,,,,,,,,,,,,,,,,,,,,357.000,-0.556,1.969,16.808,-0.0133,0.047,0.401
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357.050,-5.482,-0.435,29.130,-0.1309,-0.010,0.695,357.050,-3.476,-0.058,1.693,-0.0830,-0.001,0.040,,,,,,,,,,,,,,,,,,,,,,357.050,-0.432,2.749,12.898,-0.0103,0.066,0.308
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357.100,-5.466,1.157,30.334,-0.1305,0.028,0.724,357.100,-3.476,0.005,-0.244,-0.0830,1.250E-4,-0.006,,,,,,,,,,,,,,,,,,,,,,357.100,-0.273,3.299,7.871,-0.0065,0.079,0.188
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357.150,-5.366,2.717,28.239,-0.1281,0.065,0.674,357.150,-3.471,-0.052,-2.810,-0.0829,-0.001,-0.067,,,,,,,,,,,,,,,,,,,,,,357.150,-0.093,3.566,1.955,-0.0022,0.085,0.047
